24 0
0 78
=====
31 15
19 73
=====
53 0
1 61
=====
14 88
106 0
=====
271 0
0 164
=====
43 10
41 28
=====
2394 0
241 54
=====
132 0
0 47
=====
537 21
0 49
=====
112 0
28 50
=====
169 29
59 0
=====
50 58
30 22
=====
87 15
2 69
=====
0 11
87 62
=====
74 0
22 44
=====
396 13
387 0
=====
88 0
27 17
=====
12 89
74 2
=====
234 0
0 94
=====
338 1
0 47
=====
58 2
14 26
=====
50 45
24 15
=====
56 21
31 0
=====
5 86
8 117
=====
99 55
105 0
=====
61 0
30 53
=====
57 35
0 41
=====
153 202
17 0
=====
60 0
0 75
=====
32 91
0 65
=====
246 78
293 16
=====
114 2
15 42
=====
175 1
0 54
=====
54 0
0 450
=====
79 0
7 50
=====
143 0
0 131
=====
68 63
2 11
=====
76 64
15 0
=====
42 79
12 2
=====
89 21
1 23
=====
126 16
6 19
=====
173 0
0 127
=====
70 0
0 38
=====
90 0
69 23
=====
132 37
0 21
=====
102 83
4 14
=====
90 1
15 21
=====
315 8
301 8
=====
367 59
45 2
=====
510 48
57 113
=====
40 102
0 75
=====
41 15
22 113
=====
90 15
3 127
=====
0 106
17 41
=====
228 1
0 103
=====
331 77
46 51
=====
107 0
0 291
=====
21 40
37 9
=====
0 178
54 0
=====
27 61
84 0
=====
118 0
0 108
=====
64 18
72 0
=====
97 15
6 111
=====
45 25
54 1
=====
21 35
0 70
=====
303 0
0 208
=====
121 0
60 19
=====
319 188
31 22
=====
2814 0
332 68
=====
106 50
67 3
=====
80 7
0 81
=====
175 0
0 95
=====
55 12
33 3
=====
319 1
0 43
=====
583 25
0 62
=====
42 46
20 3
=====
597 5
568 327
=====
35 43
12 13
=====
603 21
239 309
=====
469 167
27 0
=====
357 12
318 26
=====
95 24
11 16
=====
52 62
0 19
=====
57 74
33 7
=====
197 0
0 168
=====
96 157
0 19
=====
219 9
3 38
=====
54 36
0 23
=====
136 2
46 85
=====
45 0
0 161
=====
200 0
8 38
=====
73 24
3 17
=====
153 3
39 63
=====
71 1
72 28
=====
67 18
0 56
=====
193 35
65 45
=====
89 4
0 32
=====
57 18
0 27
=====
118 2
12 81
=====
93 98
50 48
=====
31 169
0 58
=====
96 53
11 59
=====
41 18
55 46
=====
0 30
93 67
=====
235 0
66 21
=====
52 23
0 44
=====
56 0
19 46
=====
121 0
89 32
=====
209 43
35 4
=====
89 15
40 83
=====
0 58
474 1
=====
103 0
0 67
=====
185 0
0 78
=====
96 3
0 53
=====
0 74
458 8
=====
94 2
3 23
=====
128 0
0 41
=====
8 68
38 0
=====
0 22
251 190
=====
27 55
82 0
=====
373 319
0 162
=====
85 19
2 30
=====
0 93
104 3
=====
715 15
132 30
=====
122 0
0 46
=====
300 12
0 231
=====
0 61
127 35
=====
0 131
29 4
=====
0 111
2631 23
=====
0 29
75 3
=====
8 45
68 0
=====
1620 0
331 65
=====
513 50
503 10
=====
174 0
111 92
=====
376 136
0 20
=====
135 19
0 97
=====
109 0
0 39
=====
111 4
1 27
=====
1005 0
0 151
=====
65 6
3 54
=====
68 0
63 24
=====
39 43
18 0
=====
449 1
0 62
=====
64 9
21 80
=====
41 52
0 14
=====
140 0
90 18
=====
183 57
0 109
=====
7060 2307
9 57
=====
59 58
39 27
=====
74 32
72 4
=====
37 16
14 39
=====
97 0
10 32
=====
6 136
59 31
=====
58 22
0 20
=====
60 27
42 1
=====
161 47
0 38
=====
103 2
164 28
=====
59 0
23 36
=====
83 42
8 7
=====
47 0
2 169
=====
172 1
29 39
=====
185 2
111 76
=====
205 0
0 54
=====
0 137
33 0
=====
48 0
211 178
=====
89 0
4 70
=====
0 34
76 30
=====
56 37
0 29
=====
90 10
0 22
=====
89 22
0 21
=====
