====ENSG00000272602
20	20
1	0
====ENSG00000120645
143	0
0	131
====ENSG00000172785
0	0	2
2	1	25
====ENSG00000015171
0	1
6	159
0	4
====ENSG00000177951
5	25
0	2
====ENSG00000279457
206	0
0	28
====ENSG00000007392
0	0	0	3	0	0
25	0	34	0	68	4
0	0	0	0	2	0
0	4	3	0	0	0
0	0	1	0	0	0
====ENSG00000134121
2	186	0
0	2	0
0	0	6
====ENSG00000177963
1	0	0
0	2	0
0	0	2
0	124	0
====ENSG00000107099
2	1
1	0
====ENSG00000142082
0	0	15	18
1	20	41	0
====ENSG00000035115
0	32
0	3
6	15
0	3
====ENSG00000076344
32	3
50	0
====ENSG00000249915
5	59	76
0	0	15
====ENSG00000112679
1	0	0	0
0	7	29	60
0	0	7	0
====ENSG00000103202
0	0	9	1
1	0	0	0
0	7	3	0
====ENSG00000125826
1	0	0	0	1	0
0	0	0	12	0	0
30	24	5	0	49	13
====ENSG00000182903
0	0	1
3	13	0
0	0	1
====ENSG00000101266
0	0	0	4
0	1	1	4
19	0	0	0
====ENSG00000174227
1	0	0	0	16
0	3	0	6	0
0	0	4	0	0
====ENSG00000007541
0	0	0	0	1	0
21	0	0	0	0	0
0	1	11	4	89	5
2	0	0	0	0	0
====ENSG00000172270
4	0	5
0	11	1195
====ENSG00000079101
1	0	3
0	1	0
0	0	2
====ENSG00000161996
1	0	0	0
0	24	0	2
0	14	0	0
0	0	2	0
====ENSG00000151353
4	0	0
0	4	0
0	11	4
====ENSG00000132199
5	14
4	0
6	0
====ENSG00000215375
0	0	4
4	1	0
9	9	0
====ENSG00000169026
0	11
1	0
====ENSG00000177106
1	0	14	1	0
0	0	0	0	1
0	4	0	0	0
====ENSG00000177042
0	9	0
1	0	0
0	0	29
0	1	0
====ENSG00000185619
0	12	0	0
1	0	15	126
====ENSG00000206077
0	108
9	0
====ENSG00000103260
0	0	0	2
126	16	0	0
6	0	0	0
0	0	17	0
====ENSG00000103245
3	0
18	1
====ENSG00000167695
17	2	3
0	0	4
====ENSG00000179409
0	1
5	0
40	0
====ENSG00000060237
2	0	0
0	7	0
0	0	822
====ENSG00000007376
0	0	0	1	0	0	0
0	5	0	0	0	5	3
1	0	1	0	3	0	17
====ENSG00000127586
0	1	0
1	0	44
====ENSG00000188818
8	0	0	0	0
0	0	0	3	0
0	0	0	0	9
0	2	0	0	0
0	0	2	0	0
====ENSG00000164828
5	0	0	0
11	0	0	0
106	0	3	0
0	0	0	173
0	1	0	0
1	0	0	0
====ENSG00000177666
0	6
640	0
====ENSG00000028310
0	1	0	0
0	0	0	1
0	0	23	0
29	0	0	0
====ENSG00000103227
0	0	0	0	1	0
0	3	0	2	0	0
70	0	0	0	0	0
0	0	0	0	0	1
0	0	31	0	0	0
====ENSG00000127419
0	0	0	0	0	6
2	0	0	5	0	25
0	1	1	0	1	40
====ENSG00000187961
0	0	10
0	42	0
4	0	0
====ENSG00000159842
0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	11	0	0
0	0	0	0	0	2	0	0	0
0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	1	0
90	0	0	0	0	0	0	0	0
30	0	2	0	0	0	0	0	0
21	0	0	0	0	0	0	0	0
18	0	0	0	0	0	0	0	4
0	0	0	1	0	0	0	0	0
====ENSG00000182087
0	0	4	0	0
0	15	0	0	0
0	0	0	2	0
0	0	0	0	278
5	0	0	0	0
====ENSG00000180448
36	0
0	3
====ENSG00000134115
0	0	27
14	0	0
0	1	0
====ENSG00000167468
0	0	0	0	0	0	1
0	0	0	0	0	1	0
0	0	2	0	9	0	0
0	4	0	0	0	0	0
2	0	0	18	0	0	0
====ENSG00000159692
0	0	0	0	1
3	0	0	0	0
0	3	0	0	0
31	0	0	0	0
264	0	3	1	0
45	0	0	0	0
====ENSG00000099625
0	6	0
1	0	0
0	0	32
====ENSG00000160087
0	0	0	1
74	8	1	0
13	0	0	0
====ENSG00000078902
